time,cpu,mem,disk,disk_io,network,gpu load,gpu memutil
2021-02-22 03:34:04.191099,4.1,1877.7109375,10928.11328125,"{'rc': 0, 'wc': 0, 'rb': 0, 'wb': 0}","{'sent': -198393759.796525, 'recv': -27887421396.4571}",7.000000000000001,4.238399737661911
2021-02-22 03:34:08.519786,2.7,2214.7890625,10928.12109375,"{'rc': 0, 'wc': 0, 'rb': 0, 'wb': 0}","{'sent': -198393759.79153347, 'recv': -27887421396.394215}",2.0,4.566322347925889
2021-02-22 03:34:10.601977,2.5,2643.52734375,10928.12109375,"{'rc': 0, 'wc': 8, 'rb': 0, 'wb': 40960}","{'sent': -198393759.79153347, 'recv': -27887421396.3632}",2.0,7.20609936055091
2021-02-22 03:34:12.692779,2.6,2752.3046875,10928.12109375,"{'rc': 0, 'wc': 8, 'rb': 0, 'wb': 40960}","{'sent': -198393759.79148197, 'recv': -27887421396.33259}",84.0,10.255779636005903
2021-02-22 03:34:14.787114,3.1,2753.71875,10928.12109375,"{'rc': 0, 'wc': 8, 'rb': 0, 'wb': 40960}","{'sent': -198393759.79113483, 'recv': -27887421396.30272}",84.0,10.255779636005903
2021-02-22 03:34:16.880864,3.1,2753.58203125,10928.12109375,"{'rc': 0, 'wc': 10, 'rb': 0, 'wb': 94208}","{'sent': -198393759.79095745, 'recv': -27887421396.274624}",88.0,10.255779636005903
2021-02-22 03:34:18.974004,3.0,2754.48046875,10928.12109375,"{'rc': 0, 'wc': 10, 'rb': 0, 'wb': 94208}","{'sent': -198393759.79060268, 'recv': -27887421396.2471}",88.0,10.255779636005903
2021-02-22 03:34:21.067080,3.1,2754.71875,10928.12109375,"{'rc': 0, 'wc': 17, 'rb': 0, 'wb': 139264}","{'sent': -198393759.79024792, 'recv': -27887421396.217804}",57.99999999999999,10.255779636005903
2021-02-22 03:34:23.160797,3.0,2754.76953125,10928.12109375,"{'rc': 0, 'wc': 17, 'rb': 0, 'wb': 139264}","{'sent': -198393759.78989315, 'recv': -27887421396.189022}",88.0,10.255779636005903
2021-02-22 03:34:25.252595,3.1,2754.1796875,10928.12109375,"{'rc': 0, 'wc': 17, 'rb': 0, 'wb': 139264}","{'sent': -198393759.7894354, 'recv': -27887421396.160355}",57.99999999999999,10.255779636005903
2021-02-22 03:34:27.345979,3.1,2754.5546875,10928.12109375,"{'rc': 0, 'wc': 17, 'rb': 0, 'wb': 139264}","{'sent': -198393759.78908062, 'recv': -27887421396.132317}",87.0,10.255779636005903
2021-02-22 03:34:29.439649,3.0,2754.34765625,10928.12109375,"{'rc': 0, 'wc': 17, 'rb': 0, 'wb': 139264}","{'sent': -198393759.78872585, 'recv': -27887421396.10531}",69.0,10.255779636005903
2021-02-22 03:34:31.533218,3.0,2753.94921875,10928.12109375,"{'rc': 0, 'wc': 17, 'rb': 0, 'wb': 139264}","{'sent': -198393759.7883711, 'recv': -27887421396.078358}",84.0,10.255779636005903
2021-02-22 03:34:33.625837,3.1,2755.15234375,10928.12109375,"{'rc': 0, 'wc': 17, 'rb': 0, 'wb': 139264}","{'sent': -198393759.78801632, 'recv': -27887421396.050663}",63.0,10.255779636005903
2021-02-22 03:34:35.720205,3.1,2754.28515625,10928.12109375,"{'rc': 0, 'wc': 17, 'rb': 0, 'wb': 139264}","{'sent': -198393759.78591824, 'recv': -27887421396.01982}",83.0,10.255779636005903
2021-02-22 03:34:37.813522,3.0,2754.28125,10928.12109375,"{'rc': 0, 'wc': 17, 'rb': 0, 'wb': 139264}","{'sent': -198393759.78556347, 'recv': -27887421395.99161}",65.0,10.255779636005903
2021-02-22 03:34:39.906999,3.1,2754.1796875,10928.12109375,"{'rc': 0, 'wc': 19, 'rb': 0, 'wb': 147456}","{'sent': -198393759.7853861, 'recv': -27887421395.963688}",85.0,10.255779636005903
2021-02-22 03:34:42.001152,3.1,2755.21484375,10928.12109375,"{'rc': 0, 'wc': 52, 'rb': 0, 'wb': 307200}","{'sent': -198393759.78503132, 'recv': -27887421395.937023}",69.0,10.255779636005903
2021-02-22 03:34:44.093421,3.1,2754.59765625,10928.12109375,"{'rc': 0, 'wc': 52, 'rb': 0, 'wb': 307200}","{'sent': -198393759.78304863, 'recv': -27887421395.908695}",81.0,10.255779636005903
2021-02-22 03:34:46.186954,3.1,2755.2109375,10928.12109375,"{'rc': 0, 'wc': 83, 'rb': 0, 'wb': 442368}","{'sent': -198393759.78269386, 'recv': -27887421395.8798}",74.0,10.255779636005903
2021-02-22 03:34:48.279022,3.0,2754.83984375,10928.12109375,"{'rc': 0, 'wc': 85, 'rb': 0, 'wb': 466944}","{'sent': -198393759.78081417, 'recv': -27887421395.852333}",82.0,10.255779636005903
2021-02-22 03:34:50.371232,3.0,2754.61328125,10928.12109375,"{'rc': 0, 'wc': 85, 'rb': 0, 'wb': 466944}","{'sent': -198393759.7806368, 'recv': -27887421395.827267}",74.0,10.255779636005903
2021-02-22 03:34:52.466552,3.0,2754.75390625,10928.12109375,"{'rc': 0, 'wc': 85, 'rb': 0, 'wb': 466944}","{'sent': -198393759.78018284, 'recv': -27887421395.801804}",87.0,10.255779636005903
2021-02-22 03:34:54.558391,3.1,2754.0,10928.12109375,"{'rc': 0, 'wc': 115, 'rb': 0, 'wb': 618496}","{'sent': -198393759.77982807, 'recv': -27887421395.773823}",87.0,10.255779636005903
2021-02-22 03:34:56.652721,3.1,2753.96875,10928.12109375,"{'rc': 0, 'wc': 115, 'rb': 0, 'wb': 618496}","{'sent': -198393759.7794733, 'recv': -27887421395.743553}",89.0,10.255779636005903
2021-02-22 03:34:58.745391,3.0,2753.640625,10928.12109375,"{'rc': 0, 'wc': 118, 'rb': 0, 'wb': 634880}","{'sent': -198393759.77911854, 'recv': -27887421395.71437}",89.0,10.255779636005903
2021-02-22 03:35:00.839114,3.2,2753.62109375,10928.12109375,"{'rc': 0, 'wc': 118, 'rb': 0, 'wb': 634880}","{'sent': -198393759.77876377, 'recv': -27887421395.68599}",69.0,10.255779636005903
2021-02-22 03:35:02.932709,3.1,2754.40234375,10928.12109375,"{'rc': 0, 'wc': 125, 'rb': 0, 'wb': 688128}","{'sent': -198393759.778409, 'recv': -27887421395.657722}",79.0,10.255779636005903
2021-02-22 03:35:05.025651,3.1,2755.01953125,10928.12109375,"{'rc': 0, 'wc': 125, 'rb': 0, 'wb': 688128}","{'sent': -198393759.77518177, 'recv': -27887421395.625786}",59.0,10.255779636005903
2021-02-22 03:35:07.119959,3.1,2753.87109375,10928.12109375,"{'rc': 0, 'wc': 185, 'rb': 0, 'wb': 999424}","{'sent': -198393759.774827, 'recv': -27887421395.59586}",89.0,10.255779636005903
2021-02-22 03:35:09.212423,3.1,2753.80078125,10928.12109375,"{'rc': 0, 'wc': 185, 'rb': 0, 'wb': 999424}","{'sent': -198393759.77447224, 'recv': -27887421395.57154}",77.0,10.255779636005903
2021-02-22 03:35:11.305862,3.0,2753.6015625,10928.12109375,"{'rc': 0, 'wc': 185, 'rb': 0, 'wb': 999424}","{'sent': -198393759.77411747, 'recv': -27887421395.546593}",87.0,10.255779636005903
2021-02-22 03:35:13.399595,3.1,2753.671875,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.77369976, 'recv': -27887421395.520096}",82.0,10.255779636005903
2021-02-22 03:35:15.493479,3.1,2754.0546875,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.773345, 'recv': -27887421395.492172}",87.0,10.255779636005903
2021-02-22 03:35:17.585092,3.1,2754.296875,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.77299023, 'recv': -27887421395.46379}",86.0,10.255779636005903
2021-02-22 03:35:19.679219,3.1,2753.7890625,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.77263546, 'recv': -27887421395.43461}",89.0,10.255779636005903
2021-02-22 03:35:21.773108,3.1,2754.19140625,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.7722807, 'recv': -27887421395.406166}",90.0,10.255779636005903
2021-02-22 03:35:23.865734,3.1,2754.75390625,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.77192593, 'recv': -27887421395.378357}",89.0,10.255779636005903
2021-02-22 03:35:25.960092,3.1,2754.41796875,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.77174854, 'recv': -27887421395.349403}",89.0,10.255779636005903
2021-02-22 03:35:28.052249,3.2,2754.37109375,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.77139378, 'recv': -27887421395.31891}",89.0,10.255779636005903
2021-02-22 03:35:30.144562,3.1,2753.90625,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.771039, 'recv': -27887421395.287437}",88.0,10.255779636005903
2021-02-22 03:35:32.238008,3.1,2754.2734375,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.77068424, 'recv': -27887421395.25762}",90.0,10.255779636005903
2021-02-22 03:35:34.330987,3.1,2754.3515625,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.77032948, 'recv': -27887421395.22747}",89.0,10.255779636005903
2021-02-22 03:35:36.423927,3.1,2754.2421875,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.7699747, 'recv': -27887421395.197197}",70.0,10.255779636005903
2021-02-22 03:35:38.517612,3.0,2753.734375,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.76961994, 'recv': -27887421395.165558}",89.0,10.255779636005903
2021-02-22 03:35:40.611034,2.7,2753.2109375,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.76926517, 'recv': -27887421395.133957}",34.0,6.665027053615347
2021-02-22 03:35:42.706837,4.3,2730.05078125,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.75940228, 'recv': -27887421395.103172}",90.0,6.828988358747336
2021-02-22 03:35:44.799705,4.3,2731.0390625,10928.12109375,"{'rc': 0, 'wc': 192, 'rb': 0, 'wb': 1036288}","{'sent': -198393759.72385502, 'recv': -27887421395.06841}",66.0,6.828988358747336
2021-02-22 03:35:46.902067,3.1,2732.265625,10928.12109375,"{'rc': 0, 'wc': 219, 'rb': 0, 'wb': 15192064}","{'sent': -198393759.68936062, 'recv': -27887421395.0327}",88.0,10.255779636005903
2021-02-22 03:35:48.995209,3.0,2732.46484375,10928.12109375,"{'rc': 0, 'wc': 287, 'rb': 0, 'wb': 34418688}","{'sent': -198393759.68895435, 'recv': -27887421395.00329}",65.0,10.255779636005903
2021-02-22 03:35:51.088295,3.1,2732.703125,10928.12109375,"{'rc': 0, 'wc': 287, 'rb': 0, 'wb': 34418688}","{'sent': -198393759.6882496, 'recv': -27887421394.97134}",83.0,10.255779636005903
2021-02-22 03:35:53.181299,3.1,2733.51953125,10928.12109375,"{'rc': 0, 'wc': 327, 'rb': 0, 'wb': 34643968}","{'sent': -198393759.68649197, 'recv': -27887421394.939484}",74.0,10.255779636005903
